list,price,week on list,previous rank,ISBN,title,authors,Rank,weeks
Hardcover Fiction,27,16,8,9781476716732,Manhattan Beach,Jennifer Egan,8,01-24-18
Hardcover Fiction,27,16,8,9781476716732,Manhattan Beach,16,8,01-24-18
Hardcover Fiction,26.99,2,12,9781250130921,The Wife Between Us,Greer Hendricks,9,01-24-18
Hardcover Fiction,26.99,2,12,9781250130921,The Wife Between Us,2,9,01-24-18
Hardcover Fiction,28.95,13,11,9780385541176,The Rooster Bar,John Grisham,10,01-24-18
Hardcover Fiction,28.95,13,11,9780385541176,The Rooster Bar,13,10,01-24-18
Hardcover Fiction,26,3,10,9780316547611,The Power,Naomi Alderman,11,01-24-18
Hardcover Fiction,26,3,10,9780316547611,The Power,3,11,01-24-18
Hardcover Fiction,27,1,,9780812988635,The Largesse of the Sea Maiden,Denis Johnson,12,01-24-18
Hardcover Fiction,27,1,,9780812988635,The Largesse of the Sea Maiden,1,12,01-24-18
Hardcover Fiction,28,38,9,9780812995343,Lincoln in the Bardo,George Saunders,13,01-24-18
Hardcover Fiction,28,38,9,9780812995343,Lincoln in the Bardo,38,13,01-24-18
Hardcover Fiction,28.99,11,13,9780399593482,The Midnight Line,Lee Child,14,01-24-18
Hardcover Fiction,28.99,11,13,9780399593482,The Midnight Line,11,14,01-24-18
Hardcover Fiction,26,13,15,9780735212176,Exit West,Mohsin Hamid,15,01-24-18
Hardcover Fiction,26,13,15,9780735212176,Exit West,13,15,01-24-18
Hardcover Fiction,26,3,2,9780735213180,The Immortalists,Chloe Benjamin,1,01-31-18
Hardcover Fiction,26,3,2,9780735213180,The Immortalists,3,1,01-31-18
Hardcover Fiction,26.99,4,1,9780062678416,The Woman in the Window,A.J. Finn,2,01-31-18
Hardcover Fiction,26.99,4,1,9780062678416,The Woman in the Window,4,2,01-31-18
Hardcover Fiction,27,73,5,9780670026197,A Gentleman in Moscow,Amor Towles,3,01-31-18
Hardcover Fiction,27,73,5,9780670026197,A Gentleman in Moscow,73,3,01-31-18
Hardcover Fiction,27,20,4,9780735224292,Little Fires Everywhere,Celeste Ng,4,01-31-18
Hardcover Fiction,27,20,4,9780735224292,Little Fires Everywhere,20,4,01-31-18
Hardcover Fiction,26,17,3,9781501126062,"Sing, Unburied, Sing",Jesmyn Ward,5,01-31-18
Hardcover Fiction,26,17,3,9781501126062,"Sing, Unburied, Sing",17,5,01-31-18
Hardcover Fiction,29.95,17,6,9780385514231,Origin,Dan Brown,6,01-31-18
Hardcover Fiction,29.95,17,6,9780385514231,Origin,17,6,01-31-18
Hardcover Fiction,27,11,7,9780553448122,Artemis,Andy Weir,7,01-31-18
Hardcover Fiction,27,11,7,9780553448122,Artemis,11,7,01-31-18
Hardcover Fiction,27,17,8,9781476716732,Manhattan Beach,Jennifer Egan,8,01-31-18
Hardcover Fiction,27,17,8,9781476716732,Manhattan Beach,17,8,01-31-18
Hardcover Fiction,26,4,11,9780316547611,The Power,Naomi Alderman,9,01-31-18
Hardcover Fiction,26,4,11,9780316547611,The Power,4,9,01-31-18
Hardcover Fiction,26.99,3,9,9781250130921,The Wife Between Us,Greer Hendricks,10,01-31-18
Hardcover Fiction,26.99,3,9,9781250130921,The Wife Between Us,3,10,01-31-18
Hardcover Fiction,28.95,14,10,9780385541176,The Rooster Bar,John Grisham,11,01-31-18
Hardcover Fiction,28.95,14,10,9780385541176,The Rooster Bar,14,11,01-31-18
Hardcover Fiction,27,2,12,9780812988635,The Largesse of the Sea Maiden,Denis Johnson,12,01-31-18
Hardcover Fiction,27,2,12,9780812988635,The Largesse of the Sea Maiden,2,12,01-31-18
Hardcover Fiction,28,39,13,9780812995343,Lincoln in the Bardo,George Saunders,13,01-31-18
Hardcover Fiction,28,39,13,9780812995343,Lincoln in the Bardo,39,13,01-31-18
Hardcover Fiction,30,11,,9780399563249,Devotions,Mary Oliver,14,01-31-18
Hardcover Fiction,30,11,,9780399563249,Devotions,11,14,01-31-18
Hardcover Fiction,28,15,,9780735225114,A Legacy of Spies,John le Carré,15,01-31-18
Hardcover Fiction,28,15,,9780735225114,A Legacy of Spies,15,15,01-31-18
Hardcover Nonfiction,35,11,1,9781501139154,Leonardo da Vinci,Walter Isaacson,1,01-03-18
Hardcover Nonfiction,18.95,35,2,9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2,01-03-18
Hardcover Nonfiction,24.99,39,6,9780062457714,The Subtle Art of Not Giving A F*ck,Mark Manson,3,01-03-18
Hardcover Nonfiction,40,12,3,9781594204876,Grant,Ron Chernow,4,01-03-18
Hardcover Nonfiction,15.95,3,7,9781631494758,Women & Power,Mary Beard,5,01-03-18
Hardcover Nonfiction,27,7,4,9781250171672,"Promise Me, Dad",Joe Biden,6,01-03-18
Hardcover Nonfiction,28,13,8,9780399590566,We Were Eight Years in Power,Ta-Nehisi Coates,7,01-03-18
Hardcover Nonfiction,30,6,,9781501124020,Principles,Ray Dalio,8,01-03-18
Hardcover Nonfiction,26,1,,9781501181825,The Last Black Unicorn,Tiffany Haddish,9,01-03-18
Hardcover Nonfiction,27.99,70,14,9780062300546,Hillbilly Elegy,J.D. Vance,10,01-03-18
Hardcover Nonfiction,28.95,26,11,9780385534246,Killers of the Flower Moon,David Grann,11,01-03-18
Hardcover Nonfiction,24.95,60,10,9781771642484,The Hidden Life of Trees,Peter Wohlleben,12,01-03-18
Hardcover Nonfiction,24.95,7,12,9781771643016,The Inner Life of Animals,Peter Wohlleben,13,01-03-18
Hardcover Nonfiction,28,9,9,9781501111860,Bobby Kennedy: A Raging Spirit,Chris Matthews,14,01-03-18
Hardcover Nonfiction,30,15,13,9781501175565,What Happened,Hillary Rodham Clinton,15,01-03-18
Hardcover Nonfiction,30,1,,9781250158062,Fire and Fury,Michael Wolff,1,01-10-18
Hardcover Nonfiction,18.95,36,2,9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2,01-10-18
Hardcover Nonfiction,24.99,40,3,9780062457714,The Subtle Art of Not Giving A F*ck,Mark Manson,3,01-10-18
Hardcover Nonfiction,35,12,1,9781501139154,Leonardo da Vinci,Walter Isaacson,4,01-10-18
Hardcover Nonfiction,15.95,4,5,9781631494758,Women & Power,Mary Beard,5,01-10-18
Hardcover Nonfiction,26,2,9,9781501181825,The Last Black Unicorn,Tiffany Haddish,6,01-10-18
Hardcover Nonfiction,40,13,4,9781594204876,Grant,Ron Chernow,7,01-10-18
Hardcover Nonfiction,30,7,8,9781501124020,Principles,Ray Dalio,8,01-10-18
Hardcover Nonfiction,27,8,6,9781250171672,"Promise Me, Dad",Joe Biden,9,01-10-18
Hardcover Nonfiction,27.99,71,10,9780062300546,Hillbilly Elegy,J.D. Vance,10,01-10-18
Hardcover Nonfiction,28.95,27,11,9780385534246,Killers of the Flower Moon,David Grann,11,01-10-18
Hardcover Nonfiction,28,14,7,9780399590566,We Were Eight Years in Power,Ta-Nehisi Coates,12,01-10-18
Hardcover Nonfiction,26,42,,9780399185045,The Book of Joy,The Dalai Lama,13,01-10-18
Hardcover Nonfiction,18.99,1,,9781501173240,The Gentle Art of Swedish Death Cleaning,Margareta Magnusson,14,01-10-18
Hardcover Nonfiction,24.95,61,12,9781771642484,The Hidden Life of Trees,Peter Wohlleben,15,01-10-18
Hardcover Nonfiction,30,2,1,9781250158062,Fire and Fury,Michael Wolff,1,01-17-18
Hardcover Nonfiction,18.95,37,2,9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2,01-17-18
Hardcover Nonfiction,24.99,41,3,9780062457714,The Subtle Art of Not Giving A F*ck,Mark Manson,3,01-17-18
Hardcover Nonfiction,35,13,4,9781501139154,Leonardo da Vinci,Walter Isaacson,4,01-17-18
Hardcover Nonfiction,26,3,6,9781501181825,The Last Black Unicorn,Tiffany Haddish,5,01-17-18
Hardcover Nonfiction,15.95,5,5,9781631494758,Women & Power,Mary Beard,6,01-17-18
Hardcover Nonfiction,40,14,7,9781594204876,Grant,Ron Chernow,7,01-17-18
Hardcover Nonfiction,27,9,9,9781250171672,"Promise Me, Dad",Joe Biden,8,01-17-18
Hardcover Nonfiction,30,8,8,9781501124020,Principles,Ray Dalio,9,01-17-18
Hardcover Nonfiction,27.99,72,10,9780062300546,Hillbilly Elegy,J.D. Vance,10,01-17-18
Hardcover Nonfiction,26,43,13,9780399185045,The Book of Joy,The Dalai Lama,11,01-17-18
Hardcover Nonfiction,28,9,,9780812995848,Braving the Wilderness,Brene Brown,12,01-17-18
Hardcover Nonfiction,28,1,,9780735210622,When,Daniel H. Pink,13,01-17-18
Hardcover Nonfiction,28.95,28,11,9780385534246,Killers of the Flower Moon,David Grann,14,01-17-18
Hardcover Nonfiction,28,15,12,9780399590566,We Were Eight Years in Power,Ta-Nehisi Coates,15,01-17-18
Hardcover Nonfiction,30,3,1,9781250158062,Fire and Fury,Michael Wolff,1,01-24-18
Hardcover Nonfiction,18.95,38,2,9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2,01-24-18
Hardcover Nonfiction,24.99,42,3,9780062457714,The Subtle Art of Not Giving A F*ck,Mark Manson,3,01-24-18
Hardcover Nonfiction,35,14,4,9781501139154,Leonardo da Vinci,Walter Isaacson,4,01-24-18
Hardcover Nonfiction,26,4,5,9781501181825,The Last Black Unicorn,Tiffany Haddish,5,01-24-18
Hardcover Nonfiction,30,9,9,9781501124020,Principles,Ray Dalio,6,01-24-18
Hardcover Nonfiction,15.95,6,6,9781631494758,Women & Power,Mary Beard,7,01-24-18
Hardcover Nonfiction,28,2,13,9780735210622,When,Daniel H. Pink,8,01-24-18
Hardcover Nonfiction,28,1,,9781501174162,It's Even Worse Than You Think: What the Trump Administration Is Doing to America,David Cay Johnston,9,01-24-18
Hardcover Nonfiction,27.99,73,10,9780062300546,Hillbilly Elegy,J.D. Vance,10,01-24-18
Hardcover Nonfiction,27,10,8,9781250171672,"Promise Me, Dad",Joe Biden,11,01-24-18
Hardcover Nonfiction,26,44,11,9780399185045,The Book of Joy,The Dalai Lama,12,01-24-18
Hardcover Nonfiction,28,10,12,9780812995848,Braving the Wilderness,Brene Brown,13,01-24-18
Hardcover Nonfiction,28.95,29,14,9780385534246,Killers of the Flower Moon,David Grann,14,01-24-18
Hardcover Nonfiction,40,15,7,9781594204876,Grant,Ron Chernow,15,01-24-18
Hardcover Nonfiction,30,4,1,9781250158062,Fire and Fury,Michael Wolff,1,01-31-18
Hardcover Nonfiction,18.95,39,2,9780393609394,Astrophysics for People in a Hurry,Neil deGrasse Tyson,2,01-31-18
Hardcover Nonfiction,24.99,43,3,9780062457714,The Subtle Art of Not Giving A F*ck,Mark Manson,3,01-31-18
Hardcover Nonfiction,35,15,4,9781501139154,Leonardo da Vinci,Walter Isaacson,4,01-31-18
Hardcover Nonfiction,26,5,5,9781501181825,The Last Black Unicorn,Tiffany Haddish,5,01-31-18
Hardcover Nonfiction,27.99,74,10,9780062300546,Hillbilly Elegy,J.D. Vance,6,01-31-18
Hardcover Nonfiction,26,1,,9781524762933,How Democracies Die,Steven Levitsky,7,01-31-18
Hardcover Nonfiction,26,45,12,9780399185045,The Book of Joy,The Dalai Lama,8,01-31-18
Hardcover Nonfiction,30,10,6,9781501124020,Principles,Ray Dalio,9,01-31-18
Hardcover Nonfiction,28,3,8,9780735210622,When,Daniel H. Pink,10,01-31-18
Hardcover Nonfiction,18.99,2,,9781501173240,The Gentle Art of Swedish Death Cleaning,Margareta Magnusson,11,01-31-18
Hardcover Nonfiction,15.95,7,7,9781631494758,Women & Power,Mary Beard,12,01-31-18
Hardcover Nonfiction,40,16,15,9781594204876,Grant,Ron Chernow,13,01-31-18
Hardcover Nonfiction,27,11,11,9781250171672,"Promise Me, Dad",Joe Biden,14,01-31-18
Hardcover Nonfiction,28.95,30,14,9780385534246,Killers of the Flower Moon,David Grann,15,01-31-18
Young Adult,19.99,,,9780525555360,Turtles All the Way Down,John Green,1,01-03-18
Young Adult,17.99,,,9780062498533,The Hate U Give,Angie Thomas,2,01-03-18
Young Adult,22.99,,,9780375815300,The Book of Dust: La Belle Sauvage,Philip Pullman,3,01-03-18
Young Adult,19.99,,,9781250044662,Renegades,Marissa Meyer,4,01-03-18
Young Adult,10.99,,,9781524769604,"Everything, Everything",Nicola Yoon,5,01-03-18
Young Adult,17.99,,,9780062330628,Far From the Tree,Robin Benway,6,01-03-18
Young Adult,18.99,,,9780399547966,Warcross,Marie Lu,7,01-03-18
Young Adult,18.99,,,9780553496680,The Sun Is Also a Star,Nicola Yoon,8,01-03-18
Young Adult,12.99,,,9780142424179,The Fault in Our Stars,John Green,9,01-03-18
Young Adult,10.99,,,9780142423622,Salt to the Sea,Ruta Sepetys,10,01-03-18
Young Adult,11.99,,,9781442472433,Scythe,Neal Shusterman,11,01-03-18
Young Adult,12.99,,,9780385754729,The Book Thief,Markus Zusak,12,01-03-18
Young Adult,12.99,,,9780062348647,Carve the Mark,Veronica Roth,13,01-03-18
Young Adult,17.99,,,9781524714680,One of Us Is Lying,Karen M. McManus,14,01-03-18
Young Adult,19.99,,,9780525428022,Looking for Alaska,John Green,15,01-03-18
Young Adult,19.99,,,9780525555360,Turtles All the Way Down,John Green,1,01-10-18
Young Adult,17.99,,,9780062498533,The Hate U Give,Angie Thomas,2,01-10-18
Young Adult,22.99,,,9780375815300,The Book of Dust: La Belle Sauvage,Philip Pullman,3,01-10-18
Young Adult,18.99,,,9780316310277,The Cruel Prince,Holly Black,4,01-10-18
Young Adult,19.99,,,9781250044662,Renegades,Marissa Meyer,5,01-10-18
Young Adult,10.99,,,9781524769604,"Everything, Everything",Nicola Yoon,6,01-10-18
Young Adult,18.99,,,9780399547966,Warcross,Marie Lu,7,01-10-18
Young Adult,11.99,,,9781442472433,Scythe,Neal Shusterman,8,01-10-18
Young Adult,12.99,,,9780142424179,The Fault in Our Stars,John Green,9,01-10-18
Young Adult,12.99,,,9780385754729,The Book Thief,Markus Zusak,10,01-10-18
Young Adult,12.99,,,9780062348647,Carve the Mark,Veronica Roth,11,01-10-18
Young Adult,19.99,,,9780525428022,Looking for Alaska,John Green,12,01-10-18
Young Adult,17.99,,,9780062330628,Far From the Tree,Robin Benway,13,01-10-18
Young Adult,17.99,,,9781524714680,One of Us Is Lying,Karen M. McManus,14,01-10-18
Young Adult,17.99,,,9781101939499,Dear Martin,Nic Stone,15,01-10-18
Young Adult,19.99,,,9780525555360,Turtles All the Way Down,John Green,1,01-17-18
Young Adult,17.99,,,9780062498533,The Hate U Give,Angie Thomas,2,01-17-18
Young Adult,22.99,,,9780375815300,The Book of Dust: La Belle Sauvage,Philip Pullman,3,01-17-18
Young Adult,18.99,,,9780316310277,The Cruel Prince,Holly Black,4,01-17-18
Young Adult,10.99,,,9781524769604,"Everything, Everything",Nicola Yoon,5,01-17-18
Young Adult,19.99,,,9781250044662,Renegades,Marissa Meyer,6,01-17-18
Young Adult,19.99,,,9780525428022,Looking for Alaska,John Green,7,01-17-18
Young Adult,12.99,,,9780385754729,The Book Thief,Markus Zusak,8,01-17-18
Young Adult,15.99,,,9780316013697,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,9,01-17-18
Young Adult,17.99,,,9781524714680,One of Us Is Lying,Karen M. McManus,10,01-17-18
Young Adult,18.99,,,9780399547966,Warcross,Marie Lu,11,01-17-18
Young Adult,10.99,,,9780142423622,Salt to the Sea,Ruta Sepetys,12,01-17-18
Young Adult,12.99,,,9780142424179,The Fault in Our Stars,John Green,13,01-17-18
Young Adult,9.99,,,9780544340688,The Giver,Lois Lowry,14,01-17-18
Young Adult,17.99,,,9780062330628,Far From the Tree,Robin Benway,15,01-17-18
Young Adult,19.99,,,9780525555360,Turtles All the Way Down,John Green,1,01-24-18
Young Adult,17.99,,,9780062498533,The Hate U Give,Angie Thomas,2,01-24-18
Young Adult,22.99,,,9780375815300,The Book of Dust: La Belle Sauvage,Philip Pullman,3,01-24-18
Young Adult,18.99,,,9780316310277,The Cruel Prince,Holly Black,4,01-24-18
Young Adult,10.99,,,9781524769604,"Everything, Everything",Nicola Yoon,5,01-24-18
Young Adult,12.99,,,9780142424179,The Fault in Our Stars,John Green,6,01-24-18
Young Adult,19.99,,,9781250044662,Renegades,Marissa Meyer,7,01-24-18
Young Adult,12.99,,,9780385754729,The Book Thief,Markus Zusak,8,01-24-18
Young Adult,9.99,,,9780544340688,The Giver,Lois Lowry,9,01-24-18
Young Adult,12.99,,,9780062348647,Carve the Mark,Veronica Roth,10,01-24-18
Young Adult,17.99,,,9780062330628,Far From the Tree,Robin Benway,11,01-24-18
Young Adult,18.99,,,9780399547966,Warcross,Marie Lu,12,01-24-18
Young Adult,10.99,,,9780142423622,Salt to the Sea,Ruta Sepetys,13,01-24-18
Young Adult,19.99,,,9780525428022,Looking for Alaska,John Green,14,01-24-18
Young Adult,17.99,,,9781524714680,One of Us Is Lying,Karen M. McManus,15,01-24-18
Young Adult,19.99,,,9780525555360,Turtles All the Way Down,John Green,1,01-31-18
Young Adult,17.99,,,9780062498533,The Hate U Give,Angie Thomas,2,01-31-18
Young Adult,22.99,,,9780375815300,The Book of Dust: La Belle Sauvage,Philip Pullman,3,01-31-18
Young Adult,18.99,,,9780316310277,The Cruel Prince,Holly Black,4,01-31-18
Young Adult,10.99,,,9781524769604,"Everything, Everything",Nicola Yoon,5,01-31-18
Young Adult,12.99,,,9780385754729,The Book Thief,Markus Zusak,6,01-31-18
Young Adult,19.99,,,9781250044662,Renegades,Marissa Meyer,7,01-31-18
Young Adult,15.99,,,9780316013697,The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,8,01-31-18
Young Adult,12.99,,,9780142424179,The Fault in Our Stars,John Green,9,01-31-18
Young Adult,18.99,,,9780399547966,Warcross,Marie Lu,10,01-31-18
Young Adult,9.99,,,9780544340688,The Giver,Lois Lowry,11,01-31-18
Young Adult,10.99,,,9780142423622,Salt to the Sea,Ruta Sepetys,12,01-31-18
Young Adult,9.99,,,9780307931894,Every Day,David Levithan,13,01-31-18
Young Adult,17.99,,,9781524714680,One of Us Is Lying,Karen M. McManus,14,01-31-18
Young Adult,18.99,,,9780553496680,The Sun Is Also a Star,Nicola Yoon,15,01-31-18
